Rouge,Vert,Bleu,Couleur_Texte,Lisible
133,244,84,noir,1
23,37,103,blanc,1
114,88,242,blanc,1
109,98,47,noir,0
36,0,88,noir,0
33,251,53,noir,1
87,31,52,blanc,1
99,104,153,blanc,1
20,108,155,blanc,1
185,237,137,noir,1
236,161,1,noir,1
226,167,151,noir,1
177,125,119,noir,0
188,226,168,noir,1
203,234,179,blanc,0
150,154,226,noir,1
83,153,35,noir,1
239,51,70,noir,1
26,44,234,noir,0
53,124,171,blanc,1
194,165,7,noir,1
196,254,140,blanc,0
89,214,40,blanc,0
163,73,73,noir,0
163,35,173,noir,0
208,12,171,noir,0
102,161,224,blanc,0
12,147,173,noir,1
242,82,202,blanc,0
30,5,7,noir,0
254,99,191,blanc,0
12,115,194,blanc,1
191,75,59,blanc,1
163,207,58,blanc,0
191,43,182,blanc,1
46,160,144,noir,1
85,87,91,blanc,1
202,72,231,noir,1
230,141,78,noir,1
165,49,6,noir,0
83,132,169,blanc,0
232,206,111,noir,1
23,142,161,noir,1
146,236,229,noir,1
90,204,173,noir,1
2,70,220,noir,0
34,109,218,blanc,1
48,132,237,blanc,0
204,189,134,blanc,0
95,194,35,noir,1
108,153,148,blanc,0
57,25,64,noir,0
142,100,218,blanc,1
163,93,97,noir,0
88,33,93,blanc,1
247,223,72,noir,1
158,104,22,noir,0
4,129,176,noir,0
197,144,119,blanc,0
8,198,149,blanc,0
65,202,108,blanc,0
78,250,69,blanc,0
95,151,19,noir,1
15,114,159,blanc,1
132,111,99,noir,0
67,249,188,blanc,0
183,154,7,noir,1
238,170,90,noir,1
74,255,167,noir,1
218,223,45,blanc,0
148,143,82,blanc,0
223,43,116,noir,0
114,101,149,noir,0
33,206,141,blanc,0
29,100,157,noir,0
216,43,174,blanc,0
145,129,153,blanc,1
56,225,134,blanc,0
189,178,41,blanc,0
247,112,26,blanc,0
8,221,140,noir,1
220,79,236,blanc,0
115,40,152,noir,0
207,248,230,noir,1
181,43,114,noir,0
97,203,85,blanc,0
232,189,154,noir,1
128,252,150,blanc,0
177,220,158,blanc,0
108,41,31,noir,0
191,168,234,noir,1
9,209,39,noir,1
202,198,128,noir,1
248,159,222,blanc,0
95,105,215,blanc,1
247,52,126,noir,1
54,38,239,blanc,1
48,53,182,noir,0
175,214,14,blanc,0
114,163,44,noir,1
91,34,103,noir,0
153,9,38,noir,0
35,168,10,noir,1
131,76,101,noir,0
175,191,176,blanc,0
161,158,195,blanc,0
234,2,124,noir,0
88,112,68,noir,0
60,97,41,noir,0
88,46,123,blanc,1
236,73,186,blanc,0
31,235,6,blanc,0
194,48,17,noir,0
60,169,203,blanc,0
204,161,75,noir,1
13,72,195,blanc,1
23,125,43,blanc,1
89,213,231,blanc,0
36,254,126,blanc,0
30,17,41,blanc,1
160,18,172,blanc,1
199,89,221,noir,1
77,151,193,blanc,0
65,164,118,noir,1
172,235,191,noir,1
70,114,47,noir,0
26,90,64,noir,0
184,137,234,blanc,0
132,6,66,blanc,1
41,100,223,blanc,1
199,138,6,blanc,0
96,157,222,noir,1
82,123,119,noir,0
201,201,182,blanc,0
142,105,20,blanc,1
36,33,238,noir,0
188,54,174,blanc,1
174,23,108,blanc,1
49,249,194,noir,1
223,9,113,noir,0
67,202,92,noir,1
50,77,3,noir,0
147,80,227,blanc,1
184,200,156,blanc,0
20,242,209,noir,1
210,17,224,noir,1
115,201,33,blanc,0
106,138,62,noir,1
179,180,51,noir,1
42,164,52,noir,1
12,181,86,blanc,0
178,43,130,blanc,1
115,247,122,blanc,0
157,108,75,blanc,1
11,177,116,noir,1
98,47,244,blanc,1
37,72,131,blanc,1
210,49,95,noir,0
174,221,15,noir,1
136,9,99,noir,0
125,47,246,noir,0
161,58,66,noir,0
59,183,71,noir,1
66,88,187,noir,0
25,140,19,blanc,0
153,222,238,noir,1
99,235,119,noir,1
107,126,81,blanc,1
169,59,254,blanc,1
33,175,7,noir,1
140,38,206,noir,0
88,115,174,noir,0
110,119,110,noir,0
36,206,55,blanc,0
168,88,84,blanc,1
140,179,228,noir,1
191,227,85,blanc,0
31,151,198,noir,1
77,41,178,blanc,1
90,113,234,noir,0
55,57,221,blanc,1
130,231,217,blanc,0
13,221,81,blanc,0
25,84,238,noir,0
123,73,38,blanc,1
227,159,172,blanc,0
170,73,225,noir,0
12,231,31,blanc,0
150,219,12,blanc,0
153,248,180,noir,1
119,27,128,noir,0
197,66,35,noir,0
199,25,122,noir,0
196,16,7,blanc,1
236,40,23,noir,1
194,103,116,noir,0
219,47,69,noir,0
27,112,75,noir,0
44,112,144,blanc,1
174,65,142,noir,0
167,247,86,blanc,0
81,51,189,blanc,1
182,191,154,blanc,0
212,123,46,noir,0
131,185,20,noir,1
142,238,194,noir,1
31,185,105,blanc,0
114,232,35,blanc,0
244,252,79,blanc,0
110,224,233,blanc,0
110,117,99,blanc,1
76,64,185,noir,0
39,212,208,blanc,0
155,118,11,noir,0
52,136,56,noir,1
20,169,254,noir,1
47,104,197,blanc,1
196,64,34,blanc,1
189,12,164,blanc,1
16,164,249,noir,1
162,64,235,blanc,1
242,1,220,noir,1
45,161,238,noir,1
183,180,51,blanc,0
131,36,30,blanc,1
44,1,181,noir,0
59,68,81,blanc,1
54,15,158,noir,0
41,170,89,noir,1
160,31,35,noir,0
191,199,133,noir,1
242,185,209,blanc,0
27,48,91,noir,0
88,24,51,blanc,1
19,12,105,blanc,1
121,128,145,blanc,1
223,163,119,blanc,0
217,5,120,noir,0
59,176,23,noir,1
21,233,22,noir,1
18,43,51,noir,0
201,238,100,noir,1
183,156,148,noir,1
74,177,22,blanc,0
240,53,195,noir,1
32,34,120,noir,0
114,34,154,noir,0
78,106,197,blanc,1
111,210,213,noir,1
205,146,4,noir,1
11,164,185,blanc,0
107,157,165,noir,1
86,166,84,noir,1
248,139,32,blanc,0
70,20,127,noir,0
201,185,143,blanc,0
214,6,97,noir,0
68,174,42,blanc,0
254,109,178,noir,1
56,136,234,blanc,0
69,97,251,noir,0
129,7,250,noir,0
38,213,182,blanc,0
52,45,147,blanc,1
65,101,201,blanc,1
5,67,75,blanc,1
73,118,100,blanc,1
35,85,63,noir,0
153,60,100,blanc,1
93,126,93,blanc,1
94,194,169,blanc,0
91,1,101,noir,0
34,137,219,noir,1
146,92,5,noir,0
154,240,42,noir,1
75,2,131,noir,0
227,249,144,blanc,0
189,138,78,noir,1
46,161,26,noir,1
41,53,229,noir,0
204,167,251,blanc,0
149,183,133,noir,1
102,176,228,blanc,0
24,72,246,noir,0
228,185,216,blanc,0
99,142,240,noir,1
255,164,159,blanc,0
188,123,251,blanc,0
80,82,44,noir,0
82,156,201,blanc,0
193,123,106,blanc,1
152,126,149,blanc,1
81,16,147,noir,0
78,69,26,noir,0
186,6,116,noir,0
36,69,132,blanc,1
99,162,150,blanc,0
76,187,111,blanc,0
63,21,16,noir,0
188,169,89,noir,1
225,158,70,noir,1
111,47,2,blanc,1
116,76,75,blanc,1
53,154,70,blanc,0
190,185,159,noir,1
65,232,221,noir,1
162,86,122,blanc,1
105,141,190,blanc,0
24,186,133,blanc,0
178,183,129,noir,1
33,105,192,noir,0
173,60,214,blanc,1
243,141,174,noir,1
215,50,148,blanc,1
189,137,111,noir,1
63,205,73,noir,1
29,216,151,noir,1
218,215,108,blanc,0
79,68,165,noir,0
66,82,101,noir,0
79,245,25,noir,1
202,199,238,noir,1
247,175,104,noir,1
63,211,61,noir,1
153,67,130,noir,0
228,110,96,noir,1
70,53,160,blanc,1
41,224,164,noir,1
55,133,152,noir,1
88,7,252,noir,0
167,167,162,blanc,0
104,169,120,noir,1
249,199,138,noir,1
212,52,90,blanc,1
121,171,42,blanc,0
17,159,103,noir,1
46,32,202,blanc,1
13,136,120,noir,1
226,218,173,blanc,0
3,35,237,noir,0
165,171,240,noir,1
1,170,126,noir,1
23,181,24,noir,1
30,99,47,noir,0
254,128,155,blanc,0
110,123,61,noir,0
208,108,220,noir,1
17,50,219,noir,0
188,121,141,blanc,1
232,67,95,noir,1
62,163,200,noir,1
41,186,91,blanc,0
32,108,50,blanc,1
74,148,29,blanc,0
144,99,73,noir,0
186,2,68,blanc,1
129,2,169,blanc,1
55,113,64,blanc,1
249,196,175,blanc,0
16,181,144,noir,1
218,46,164,blanc,0
54,144,159,blanc,0
92,68,235,noir,0
180,57,10,blanc,1
128,29,246,blanc,1
25,198,158,blanc,0
101,191,33,blanc,0
193,249,243,noir,1
182,208,162,noir,1
209,100,112,noir,0
250,247,63,blanc,0
58,235,136,blanc,0
50,0,112,noir,0
18,244,8,blanc,0
169,151,9,noir,1
188,106,182,noir,0
125,85,210,blanc,1
246,95,100,noir,1
214,211,125,noir,1
181,252,137,blanc,0
210,144,119,blanc,0
246,173,182,blanc,0
228,218,233,noir,1
166,23,51,noir,0
254,128,29,noir,1
253,240,205,blanc,0
89,187,72,noir,1
244,231,126,blanc,0
145,223,136,noir,1
113,38,22,noir,0
109,12,113,noir,0
220,46,29,noir,0
250,194,181,blanc,0
48,110,248,blanc,1
191,199,168,blanc,0
74,1,100,noir,0
64,39,111,blanc,1
119,48,43,noir,0
175,126,45,blanc,1
167,211,70,blanc,0
182,231,36,noir,1
90,209,223,noir,1
69,240,229,blanc,0
31,116,35,blanc,1
156,233,21,noir,1
129,126,173,blanc,1
48,245,72,blanc,0
215,60,43,blanc,1
132,133,255,blanc,0
180,80,206,noir,0
18,182,239,noir,1
121,172,196,noir,1
23,93,165,blanc,1
155,185,60,noir,1
123,168,215,noir,1
160,12,238,noir,0
3,218,85,noir,1
76,109,154,noir,0
254,241,38,noir,1
40,196,91,blanc,0
193,69,156,blanc,1
7,34,78,blanc,1
214,64,151,noir,1
208,240,137,blanc,0
110,250,134,blanc,0
179,83,173,blanc,1
108,82,116,noir,0
131,95,140,blanc,1
224,234,237,noir,1
154,65,246,noir,0
244,203,229,noir,1
141,220,67,blanc,0
123,198,224,blanc,0
185,111,53,noir,0
247,190,191,blanc,0
187,148,152,noir,1
206,32,249,blanc,0
138,38,152,noir,0
212,149,93,blanc,0
208,253,75,blanc,0
199,48,205,blanc,1
163,229,79,blanc,0
189,157,21,blanc,0
129,244,126,noir,1
208,140,235,blanc,0
66,164,179,blanc,0
59,186,170,blanc,0
150,15,160,noir,0
175,34,210,blanc,1
70,219,80,blanc,0
47,62,7,noir,0
104,22,90,blanc,1
103,238,57,noir,1
183,79,255,noir,1
27,252,8,noir,1
135,120,124,noir,0
152,51,31,noir,0
126,30,147,noir,0
48,201,216,blanc,0
255,20,16,noir,1
8,169,150,blanc,0
56,51,193,blanc,1
216,176,126,noir,1
182,122,64,blanc,1
242,148,108,blanc,0
123,154,254,blanc,0
40,85,193,blanc,1
182,172,229,noir,1
210,219,33,blanc,0
168,194,85,noir,1
221,166,234,blanc,0
141,238,134,noir,1
104,68,35,blanc,1
69,39,122,blanc,1
105,70,203,noir,0
128,129,184,noir,0
63,73,43,noir,0
24,0,145,noir,0
104,66,228,blanc,1
148,139,131,blanc,0
83,204,4,blanc,0
25,236,21,blanc,0
140,38,84,blanc,1
206,159,225,blanc,0
93,182,82,noir,1
174,39,255,blanc,1
94,155,52,noir,1
204,56,27,noir,0
116,9,120,noir,0
156,127,10,noir,0
185,156,45,blanc,0
153,198,166,noir,1
48,248,187,noir,1
60,112,111,noir,0
49,54,218,noir,0
227,11,139,noir,1
104,129,197,blanc,1
112,42,87,noir,0
246,215,199,blanc,0
52,159,148,blanc,0
63,215,159,blanc,0
139,153,253,blanc,0
55,135,66,blanc,1
84,254,238,blanc,0
205,167,77,blanc,0
164,196,97,blanc,0
154,78,126,blanc,1
114,233,242,noir,1
105,129,123,blanc,1
34,235,109,noir,1
138,195,247,noir,1
205,152,6,blanc,0
128,57,152,blanc,1
101,38,197,blanc,1
211,227,113,blanc,0
232,226,236,noir,1
252,224,158,noir,1
82,214,76,noir,1
0,36,51,blanc,1
109,44,51,blanc,1
233,126,60,noir,1
59,208,96,blanc,0
28,140,7,noir,1
56,135,49,noir,0
183,109,130,blanc,1
73,48,194,blanc,1
48,88,232,noir,0
168,58,224,noir,0
149,62,114,noir,0
90,107,2,blanc,1
14,76,106,noir,0
47,168,127,noir,1
105,210,53,blanc,0
217,60,92,blanc,1
226,143,60,blanc,0
188,60,150,noir,0
189,63,214,noir,0
53,103,112,blanc,1
33,169,132,blanc,0
102,138,108,noir,1
178,63,90,noir,0
216,77,98,blanc,1
167,232,175,noir,1
179,146,145,blanc,0
235,48,145,noir,1
126,253,156,noir,1
96,84,236,blanc,1
82,59,85,blanc,1
122,100,77,noir,0
161,103,92,noir,0
180,7,143,noir,0
184,205,65,blanc,0
250,84,91,blanc,0
170,136,16,noir,1
108,159,177,blanc,0
249,201,4,blanc,0
226,118,184,noir,1
101,2,122,noir,0
70,102,228,blanc,1
163,143,137,blanc,0
80,33,242,blanc,1
176,213,191,noir,1
91,215,167,blanc,0
204,118,64,blanc,1
245,131,91,noir,1
160,80,18,blanc,1
95,3,142,blanc,1
114,17,175,blanc,1
47,87,225,blanc,1
147,90,194,blanc,1
5,167,21,noir,1
211,150,254,noir,1
62,44,113,noir,0
125,166,7,blanc,0
84,38,46,blanc,1
116,165,41,blanc,0
175,140,137,blanc,0
167,137,178,noir,1
134,139,188,noir,1
195,98,237,noir,1
155,33,119,noir,0
5,50,14,noir,0
82,166,152,noir,1
228,150,2,blanc,0
25,168,244,noir,1
21,192,158,noir,1
148,123,145,noir,0
134,244,61,blanc,0
22,228,85,noir,1
170,55,157,blanc,1
88,183,187,noir,1
17,11,253,noir,0
233,21,198,noir,1
230,143,128,blanc,0
238,147,139,noir,1
229,76,209,blanc,0
39,251,218,blanc,0
175,136,51,noir,1
152,130,5,blanc,0
136,79,60,blanc,1
149,255,56,blanc,0
65,175,113,noir,1
8,147,100,blanc,0
119,137,211,noir,1
17,100,218,noir,0
210,24,123,noir,0
165,177,163,blanc,0
239,24,145,noir,1
112,229,11,blanc,0
211,143,145,noir,1
219,91,101,noir,0
95,88,81,blanc,1
15,157,235,blanc,0
42,255,143,blanc,0
95,14,23,blanc,1
12,87,185,blanc,1
252,157,9,noir,1
224,45,60,blanc,1
159,100,241,blanc,1
63,250,126,noir,1
182,239,183,noir,1
38,103,159,blanc,1
134,47,242,blanc,1
237,19,62,blanc,0
63,37,170,blanc,1
218,54,74,blanc,1
58,168,65,noir,1
61,49,219,noir,0
61,153,42,noir,1
8,154,168,noir,1
60,103,32,noir,0
126,210,57,blanc,0
15,232,172,blanc,0
49,222,29,blanc,0
206,19,23,blanc,1
13,233,167,blanc,0
28,136,98,blanc,0
71,175,186,noir,1
211,128,140,blanc,0
174,248,240,blanc,0
79,180,34,blanc,0
139,216,254,noir,1
139,253,82,blanc,0
32,31,34,blanc,1
144,17,57,noir,0
36,179,247,blanc,0
91,7,117,noir,0
59,97,8,blanc,1
119,50,165,blanc,1
235,22,131,blanc,0
85,98,137,blanc,1
205,160,134,noir,1
3,222,227,blanc,0
9,138,94,noir,1
165,162,101,noir,1
227,180,16,blanc,0
63,236,158,noir,1
37,176,250,noir,1
68,78,4,noir,0
102,55,58,blanc,1
63,118,147,noir,0
253,149,239,blanc,0
108,166,175,noir,1
182,66,168,noir,0
64,51,127,blanc,1
77,82,176,noir,0
33,8,35,blanc,1
83,150,14,noir,1
155,35,88,noir,0
65,2,208,blanc,1
122,172,248,blanc,0
138,134,72,noir,1
48,6,8,noir,0
37,133,17,noir,0
138,144,143,blanc,0
165,165,83,blanc,0
222,92,87,blanc,1
248,44,147,blanc,0
66,107,207,blanc,1
159,154,129,blanc,0
247,126,123,blanc,0
108,140,138,blanc,0
211,228,111,blanc,0
229,238,153,blanc,0
223,184,218,noir,1
247,24,171,blanc,0
167,129,72,blanc,1
99,157,184,noir,1
105,223,80,blanc,0
94,226,39,blanc,0
38,141,83,blanc,0
176,35,49,blanc,1
31,220,17,noir,1
11,248,228,blanc,0
186,141,233,noir,1
188,101,239,blanc,0
57,225,122,blanc,0
141,32,222,blanc,1
213,241,135,blanc,0
78,21,170,noir,0
91,25,205,noir,0
75,102,43,noir,0
40,131,238,noir,1
105,17,210,noir,0
174,191,255,noir,1
173,148,178,noir,1
253,149,218,blanc,0
65,220,34,noir,1
83,146,94,blanc,0
184,53,139,blanc,1
179,64,221,noir,0
7,72,183,blanc,1
111,235,202,blanc,0
65,130,20,noir,0
21,227,138,noir,1
122,251,107,noir,1
33,165,253,noir,1
14,36,59,blanc,1
88,5,110,blanc,1
238,255,171,noir,1
103,250,80,blanc,0
212,169,145,blanc,0
16,167,206,blanc,0
187,187,209,blanc,0
21,243,30,noir,1
120,82,95,noir,0
4,160,10,noir,1
59,175,10,blanc,0
46,4,106,blanc,1
33,148,235,blanc,0
94,224,14,noir,1
20,210,112,noir,1
50,219,231,noir,1
173,243,55,noir,1
200,73,48,blanc,1
182,115,9,noir,0
222,180,35,blanc,0
211,0,84,noir,0
1,142,63,blanc,0
186,32,52,blanc,1
67,85,137,blanc,1
179,17,235,noir,0
10,77,212,noir,0
52,202,30,blanc,0
181,96,44,blanc,1
86,216,84,blanc,0
9,153,255,blanc,0
135,32,178,blanc,1
240,86,101,noir,1
172,8,228,blanc,1
156,179,124,blanc,0
176,77,42,blanc,1
119,243,67,noir,1
125,95,160,noir,0
73,64,124,noir,0
61,75,251,blanc,1
0,55,86,blanc,1
187,89,244,blanc,0
104,6,74,blanc,1
118,73,228,noir,0
204,77,222,noir,1
17,15,134,blanc,1
66,137,70,noir,1
164,237,221,blanc,0
130,125,142,blanc,1
253,224,233,blanc,0
104,29,8,noir,0
73,2,218,noir,0
85,7,245,blanc,1
3,76,234,blanc,1
96,238,78,noir,1
132,198,183,blanc,0
105,221,80,noir,1
105,240,188,blanc,0
240,200,124,blanc,0
74,204,139,noir,1
54,167,229,blanc,0
204,211,65,blanc,0
220,10,190,noir,1
216,103,79,noir,0
160,26,59,blanc,1
88,145,72,noir,1
223,17,234,noir,1
248,35,84,noir,1
122,165,198,noir,1
109,84,64,noir,0
63,121,196,blanc,1
0,31,8,blanc,1
73,120,226,noir,0
178,21,12,noir,0
